full_text,POS
"Sin ser fan de Juan Gabriel, siempre supe que era una fuerza de la naturaleza. Hoy escuché ""Querida"", y me dio una ternura enorme.",P
Sabes que no tendrás un buen día cuando lo primero que haces en la mañana es tratar de cambiar un foco y este te cae en la cara,N
"En situaciones en las que no sepas que hacer, sumérgete en ti y sólo así podrás escuchar lo que tú alma y tu corazón tienen que decir",N
ayer preguntaban y dónde están las solteras!!!! todo mi grupo alza la mano y yo la única que no y todas voltean a verme AJAJAJAJAJJA,NEU
"Que el finde sea para hacer cualquier cosa que a uno lo haga FELIZ, lo que sea pero que sea lo que a uno le de la reverenda gana",NEU
"En el examen de geometría me estoy esforzando por un 20, bueno fuera que fuese por mi bien sólo es por que alguien esté orgulloso de mi",NEU
"Elige amar, así duela, así parezca un imposible, así te tiemble el alma, así tengas miedo, así vayas a salir herida. El amor transforma",NEU
"Mi mamá compra pollo a la brasa de almuerzo y mi tío viene a visitarnos en la noche y trae otro pollo más, entiendan porque estoy bola",N
hoy me toco visitar a mamá en su descanso eterno le contare todo lo que vivo ella fue es y siempre sera mi MEJOR AMIGA sin igual,P
"@sadalienpotato ¿Opto por el rapado? En serio, estoy muy confusa. (Y admito que me lo corto por aburrimiento, como el 99% de la gente)",NEU
Ojala mi princesa no se ponga triste porq no fue su abuela elvira el dia de los abuelos solo su papito chus ella queria q vayan los dos,N
"Este ciclo en la u, inventare un horario que los sábados tenga clase de 8 am a 10:30 así llegar 11 al todos los sábados al trabajo #chan",NEU
"No sé si los maltrataban de verdad pero me dio penita ver eso No me gusto eso, no son objetos para que los traten así. Me indigna tanto",N
Sin sueño pero tranquilo pues ya tomé la pastilla. Esta medicina me lo indicó la Dta para cada 8 horas. La siguuente será a las 8:30 am,NEU
Mi Jefazo hermoso @AlejandroSanz #DejaQueTeBese en @Fansdelaradio @CarlosJRubiofm @madshila @PaolaMattos11 #FanaticaSiempre @soleyvelez,P
Mi mamá odia que deje a Lola libre cerca de sus cosas y hoy la cagué y se comió el cargador de su laptop Ya balí berga,N
"La gente coreando en Río ""ole ole ole ole, delpo! Delpo!"" Eres local @delpotrojuan, saca ventaja de eso y da lo mejor. Pero ojalá pierdas",NEU
#postrecito para endulzarme un poquito,P
"La vida te va a poner donde debas estar, porque en últimas todo aquello que fue, ya es. Y lo que ha de ser, fue ya",NEU
"Que haya una planta de tamarindo afuera de la que posiblemente va a ser la casa en la que vivas de vez en cuando, es una buena señal",P
Todo estaba bien hasta que me desilusionaron .....................me siento herida .......................que dolor ...... .....,N
"Sean las cuentas de Mc reales o no, no lo veo bien si quieren una cuenta consigan el dinero y cómprenla con su esfuerzo, no por rts",N
@isachi8 gracias!!!!!! Washis estoy feliz y aprovechando todo lo q puedo gracias por los deseos y buena vibra. Un abrazote a la distancia,P
"No vayan por la Av Brasil está cerrada y no le echen la culpa a PPK, el quiso que se haga en el central Park el desfile",NEU
@lagartoblue buen tip muchas gracias,P
"Veo que nos extrañan...mi tío nos llamó, mi prima me dedica tuits y mi mamá me manda foto con caras tristes AH PERO CUANDO ESTO ALLÁ...",NEU
papá a veces compara mi ponderado semestral de 14 o 13 con los 17 u 18 y de mi primos y PAPÁ ESTOY EN UNA UNIVERSIDAD NACIONAL,N
@JorgeCallirgos q horrible sentimiento ajajaja,NEU
#EVDLV @ErnestoJimenex es el hombre perfecto,P
Nada como el nuevo #InstagramStories,P
Me he puesto nervioso por la función de mañana. Y si me da una laguna mental??? Mierda ahora no puedo dejar de pensar en eso,N
Hoy me vi con mi amigo y me dijo que le seguia gustando y con mi mirada el ya sabia q había caído en la friendzone HAHAHAHA sody,NEU
"Voy o no voy!!! estresado pero feliz con tu amor,un amor verdadero sincero y no convenido m siento amado x quien soy no x conveniencia",NEU
"Ni siquiera subi a la montaña mas alta porque ""es muy peligroso"" solo el camino es angosto, oe, yo queria mi foto con la llama",NEU
Si la ven díganle que se Pudraa por que si la veo yo le voy a gritar lo que la enfada PUTAAAA jajaja buenos mundo días amanecí Feliz,P
@AlejoAbarca muy underground ya mano,N
"Ese momento en el que no puedes dormir y no sabes por qué, pero estás con una sonrisa de oreja a oreja al igual que toda la semana",NEU
Si te doy sincero Quisiera salir de mi casa ! En búsqueda de la felicidad ! Y me refiero a buscarte ! Aunque no sepa do de estés,P
"@metrokosmiko Pero retomas y ya (y bueno, lo que dices, es mi razón para no ir a un gym, por eso prefiero entrenar en casa )",NEU
@sigridbazan Tu optimismo es admirable,P
"@ViviRivasPlata dias q m hacen reir con sus ocurrencias con sus reportajes sigan asi, xq lo demas es recontra aburrido!!!!!!!! kisses",P
"Me está costando creer que mi perro ya es viejito ya no me escucha , se tropieza con todo y ya no me pasa cuando corremos juntos",N
"@hectorandres8 si, parezco niño que cuando sale a la calle todo quiere, y pues me la paso comiendo (flaco no, en vivo se nota mi panza)",NEU
"Por rockear como loco ayer , quedé con la garganta mal y la nuca adolorida , a pesar de ello el metal si q me logró desestrezar mucho",NEU
@IsabelPalomar espero que te mejores,P
Buena pela #LaPeorDeMisBodas @maricarmenmarin @gabrielsotoMEX @rickytosso @adolfoaguilarv @DarleneRosas @EmanuelSoriano buen elenco,P
"Empezó el tercer y último turno que acaba ma?ana a las 7 am. El ambiente está más caliente que semanás atrás. Bueno, es la primavera!",NEU
"@rodgonzalezl ayudenme a ganarme ese pasaje a Panamá y cumplir mi sueño d ser mami, ya q según la ex @AlvaroStoll gasta + d S/.7000 la bb",NEU
Todo sacrificio tiene su recompensa Este mes me toco estar apretada de dinero pero todo sea por mi salud Llegaran tiempos mejores,NEU
@PatoParodiC espero que te mejores,P
Un chico vino desde adelante a sentarse cerca de mi sólo a preguntarme la hora... Quizás era el amor de mi vida y yo lo mire feo,N
"El amor incondicional es esa clase de sentimiento que busca la felicidad de otro ser, incluso a costa del suyo. Familia es quien te ama.",P
"Terminé mi Inktober, pero mi hermano no está y no lo podré subir Esperaré que pasen 3 días más para subirlos juntos. Adivinen que dibuje!",NEU
Fin de la Misión #Lima-limon: Muchas gracias a tod@s por el cariño y por la buena onda!! El tiempo fue corto pero se repetirá visita,P
@madshila @soleyvelez @CarlosJRubiofm y ahora sonando @sinbandera #CancionesDeAmorEnFanatica excelente,P
@AracelyPeri @AlejandroSanz @CorazonesPeru #girasiropevivo con nuestro Chan hermoso,P
#QueFeoTuConsejoOe no funciona tu huevada,N
"Mi usb de mierda está malogrado y se me borró TODA MI PUTA INFO de eeggll ensayo de argu, monografia de investiga, los extrañaré",N
Morí @AlexisDescalzo me dio like #Bombon,P
"Extraño Virginia, extraño a Leo, extraño a mis primas, extraño a mi tía extraño salir y ver la nieve y sus atardeceres y los cervatillos",NEU
"@CarmenLo19 hola Carmen!! Es una aplicación para ver películas y series! Bien completa es, incluso hay de las que están en estreno en HD.",P
"Siempre me han dicho que la relación que tengo con mi papá es muy bonita, es por que siempre solo nos hemos tenido el uno al otro",P
El problema sera que como iré sola y tenga que ir a hacer algunas cosas durante el día no se a quien le dejare encargado mi sitio,N
En mi casa todos morirán el día que haya un terremoto. Nadie me hace caso. Yo la única zonza parada en toalla en la calle.,N
"Me sorprende ver cómo mejoras cada día, pero más que nada me llena de felicidad... Tranquilidad Ya iré a verte lo más pronto posible.",P
Querer alguien que no te quiere es como intentar volar con un ala rota. ..................................,N
